titre;realisateur;date_debut;date_fin;cadre;lieu;arrondissement;adresse_complete;geo_coordinates
LE PONT DES ARTS;GREEN EUGENE;23/02/2004;23/02/2004;EXTERIEUR;BERGES DU QUAI DES ORFEVRES;75001;BERGES DU QUAI DES ORFEVRES 75001 Paris France;48.855464, 2.342859
LE PONT DES ARTS;GREEN EUGENE;29/03/2004;29/03/2004;EXTERIEUR;PASSERELLE DES ARTS;75001;PASSERELLE DES ARTS 75001 Paris France;48.858795, 2.337747
LE PONT DES ARTS;GREEN EUGENE;23/03/2004;23/03/2004;EXTERIEUR;PASSERELLE DES ARTS;75001;PASSERELLE DES ARTS 75001 Paris France;48.858795, 2.337747
LE PONT DES ARTS;GREEN EUGENE;16/03/2004;16/03/2004;EXTERIEUR;PLACE DE LA SORBONNE;75005;PLACE DE LA SORBONNE 75005 Paris France;48.848577, 2.342194
LE PONT DES ARTS;GREEN EUGENE;03/12/2004;03/12/2004;EXTERIEUR;QUAI DE JEMMAPES (TROTTOIR);75010;QUAI DE JEMMAPES (TROTTOIR) 75010 Paris France;48.875508, 2.357853
QUAND LES ANGES S'EN MELENT;CRYSTEL AMSALEM;26/02/2004;26/02/2004;EXTERIEUR;PLACE DES VOSGES;75004;PLACE DES VOSGES 75004 Paris France;48.85547, 2.366377
LES SOEURS FACHEES;ALEXANDRA LECLERE;25/02/2004;25/02/2004;EXTERIEUR;PLACE DE L'EUROPE;75008;PLACE DE L'EUROPE 75008 Paris France;48.879098, 2.323412
LES SOEURS FACHEES;ALEXANDRA LECLERE;03/02/2004;03/02/2004;EXTERIEUR;PLACE FRANCOIS 1ER;75008;PLACE FRANCOIS 1ER 75008 Paris France;48.866122, 2.307928
LES SOEURS FACHEES;ALEXANDRA LECLERE;26/02/2004;26/02/2004;EXTERIEUR;RUE TRONCHET;75008;RUE TRONCHET   75008 Paris France;48.872445, 2.326256
LES SOEURS FACHEES;ALEXANDRA LECLERE;23/02/2004;23/02/2004;EXTERIEUR;RUE DU MONTPARNASSE;75006;RUE DU MONTPARNASSE   75006 Paris France;48.843548, 2.326798
L'EMPIRE DES LOUPS;NAHON CHRIS;03/05/2004;03/05/2004;EXTERIEUR;CANAL SAINT-MARTIN;75010;CANAL SAINT-MARTIN 75010 Paris France;48.880421, 2.374757
L'EMPIRE DES LOUPS;NAHON CHRIS;03/11/2004;03/11/2004;EXTERIEUR;CARREAU DU TEMPLE;75003;CARREAU DU TEMPLE 75003 Paris France;48.867346, 2.347322
L'EMPIRE DES LOUPS;NAHON CHRIS;03/05/2004;03/05/2004;EXTERIEUR;ECLUSE DU TEMPLE (INTERIEUR VOUTE DU TEMPLE);75019;ECLUSE DU TEMPLE (INTERIEUR VOUTE DU TEMPLE) 75019 Paris France;48.88235, 2.381822
L'EMPIRE DES LOUPS;NAHON CHRIS;04/02/2004;04/02/2004;EXTERIEUR;PASSAGE GOIX;75019;PASSAGE GOIX 75019 Paris France;48.884869, 2.366258
GLORIA MUNDI;PAPATAKIS NICO;17/03/2004;17/03/2004;EXTERIEUR;PLACE DU TROCADERO;75016;PLACE DU TROCADERO 75016 Paris France;48.862318, 2.287561
LE CARTON;NEMES CHARLES;22/03/2004;22/03/2004;EXTERIEUR;BOULEVARD DES BATIGNOLLES;75017;BOULEVARD DES BATIGNOLLES 75017 Paris France;48.882479, 2.321646
LE CARTON;NEMES CHARLES;16/03/2004;16/03/2004;EXTERIEUR;RUE DARCET;75017;RUE DARCET 75017 Paris France;48.883803, 2.324988
LE CARTON;NEMES CHARLES;19/03/2004;19/03/2004;EXTERIEUR;RUE BIOT;75017;RUE BIOT 75017 Paris France;48.885037, 2.325444
LE CARTON;NEMES CHARLES;15/03/2004;15/03/2004;EXTERIEUR;RUE BIOT;75017;RUE BIOT 75017 Paris France;48.885037, 2.325444
LE CARTON;NEMES CHARLES;18/03/2004;18/03/2004;EXTERIEUR;RUE BIOT;75017;RUE BIOT 75017 Paris France;48.885037, 2.325444
LE CARTON;NEMES CHARLES;23/03/2004;23/03/2004;EXTERIEUR;RUE DES DAMES;75017;RUE DES DAMES 75017 Paris France;48.883753, 2.321172
LE CARTON;NEMES CHARLES;15/03/2004;15/03/2004;EXTERIEUR;RUE DES DAMES;75017;RUE DES DAMES 75017 Paris France;48.883753, 2.321172
LE CARTON;NEMES CHARLES;18/03/2004;18/03/2004;EXTERIEUR;RUE DES DAMES;75017;RUE DES DAMES 75017 Paris France;48.883753, 2.321172
LE QUATRIEME MORCEAU DE LA FEMME COUPEE EN TROIS;MARSAC LAURE;18/03/2004;18/03/2004;EXTERIEUR;AVENUE DE TOURVILLE;75007;AVENUE DE TOURVILLE 75007 Paris France;48.853905, 2.310528
LE QUATRIEME MORCEAU DE LA FEMME COUPEE EN TROIS;MARSAC LAURE;24/03/2004;24/03/2004;EXTERIEUR;PLACE DE VARSOVIE;75016;PLACE DE VARSOVIE 75016 Paris France;48.860104, 2.290901
UN AMOUR DESASTREUX;KARA YOURI;23/04/2004;23/04/2004;EXTERIEUR;BERGES DU PORT;75005;BERGES DU PORT 75005 Paris France;48.843491, 2.351834
UN AMOUR DESASTREUX;KARA YOURI;27/04/2004;27/04/2004;EXTERIEUR;COURS LA REINE;75008;COURS LA REINE 75008 Paris France;48.864827, 2.3142
UN AMOUR DESASTREUX;KARA YOURI;28/04/2004;28/04/2004;EXTERIEUR;PLACE DE LA CONCORDE;75008;PLACE DE LA CONCORDE 75008 Paris France;48.865519, 2.321454
UN AMOUR DESASTREUX;KARA YOURI;24/04/2004;24/04/2004;EXTERIEUR;PLACE DE LA CONCORDE;75008;PLACE DE LA CONCORDE 75008 Paris France;48.865519, 2.321454
UN AMOUR DESASTREUX;KARA YOURI;23/04/2004;23/04/2004;EXTERIEUR;PLACE DE LA CONCORDE;75008;PLACE DE LA CONCORDE 75008 Paris France;48.865519, 2.321454
UN AMOUR DESASTREUX;KARA YOURI;23/04/2004;23/04/2004;EXTERIEUR;PONT DE L'ARCHEVECHE;75005;PONT DE L'ARCHEVECHE 75005 Paris France;48.851604, 2.351582
UN AMOUR DESASTREUX;KARA YOURI;28/04/2004;28/04/2004;EXTERIEUR;PONT ALEXANDRE III;75008;PONT ALEXANDRE III 75008 Paris France;48.863669, 2.313547
L'ANTIDOTE;DE BRUS VINCENT;24/05/2004;25/05/2004;EXTERIEUR;RUE BREMONTIER;75017;RUE BREMONTIER 75017 Paris France;48.884534, 2.304179
L'ANTIDOTE;DE BRUS VINCENT;23/06/2004;23/06/2004;EXTERIEUR;RUE ROYALE;75008;RUE ROYALE   75008 Paris France;48.867987, 2.322978
QUARTIER VIP;FIRODE LAURENT;06/08/2004;06/08/2004;EXTERIEUR;RUE BOUCHUT;75015;RUE BOUCHUT 75015 Paris France;48.846843, 2.31005
LES INVISIBLES;JOUSSE THIERRY;23/06/2004;23/06/2004;EXTERIEUR;PASSAGE DU CHAROLAIS;75012;PASSAGE DU CHAROLAIS 75012 Paris France;48.84068, 2.387034
LES INVISIBLES;JOUSSE THIERRY;17/06/2004;17/06/2004;EXTERIEUR;PONT DE L'ARCHEVECHE;75004;PONT DE L'ARCHEVECHE 75004 Paris France;48.851604, 2.351582
LES INVISIBLES;JOUSSE THIERRY;17/05/2004;17/05/2004;EXTERIEUR;RUE SAINT MAUR;75011;RUE SAINT MAUR 75011 Paris France;48.865808, 2.377203
LES INVISIBLES;JOUSSE THIERRY;06/02/2004;06/02/2004;EXTERIEUR;RUE DU PUITS DE L'ERMITE;75005;RUE DU PUITS DE L'ERMITE 75005 Paris France;48.8422, 2.352662
LES INVISIBLES;JOUSSE THIERRY;17/05/2004;17/05/2004;EXTERIEUR;RUE GENERAL GHILEM;75011;RUE GENERAL GHILEM 75011 Paris France;48.861885, 2.379595
LES INVISIBLES;JOUSSE THIERRY;16/06/2004;16/06/2004;EXTERIEUR;RUE DES PARTANTS;75020;RUE DES PARTANTS 75020 Paris France;48.865146, 2.391153
LES INVISIBLES;JOUSSE THIERRY;17/06/2004;17/06/2004;EXTERIEUR;RUE DU GENERAL BLAISE;75011;RUE DU GENERAL BLAISE 75011 Paris France;48.86146, 2.378556
LES INVISIBLES;JOUSSE THIERRY;06/09/2004;06/09/2004;EXTERIEUR;RUE BOYER;75020;RUE BOYER 75020 Paris France;48.867872, 2.392478
LES INVISIBLES;JOUSSE THIERRY;06/03/2004;06/03/2004;EXTERIEUR;RUELLE DE LA PLANCHETTE;75012;RUELLE DE LA PLANCHETTE 75012 Paris France;48.839509, 2.388822
LES INVISIBLES;JOUSSE THIERRY;17/06/2004;17/06/2004;DOMAINE PUBLIC;SQUARE DES ARENES DE LUTECE;75005;SQUARE DES ARENES DE LUTECE 75005 Paris France;48.843491, 2.351834
LES INVISIBLES;JOUSSE THIERRY;17/05/2004;17/05/2004;DOMAINE PUBLIC;SQUARE MAURICE GARDETTE;75011;SQUARE MAURICE GARDETTE 75011 Paris France;48.861798, 2.379141
CAVALCADE;SUISSA STEVE;24/06/2004;24/06/2004;EXTERIEUR;QUAI DE VALMY;75010;QUAI DE VALMY 75010 Paris France;48.876123, 2.364043
CAVALCADE;SUISSA STEVE;28/06/2004;28/06/2004;EXTERIEUR;RUE DU FAUBOURG POISSONNIERE;75009;RUE DU FAUBOURG POISSONNIERE 75009 Paris France;48.877358, 2.349005
CAVALCADE;SUISSA STEVE;05/11/2004;05/11/2004;EXTERIEUR;RUE DE BERRI;75008;RUE DE BERRI 75008 Paris France;48.873257, 2.305636
UN AN;BOULANGER LAURENT;05/12/2004;05/12/2004;EXTERIEUR;BOULEVARD DE BELLEVILLE;75011;BOULEVARD DE BELLEVILLE 75011 Paris France;48.869475, 2.379774
UN AN;BOULANGER LAURENT;05/10/2004;05/10/2004;EXTERIEUR;RUE DE LA LEGION ETRANGERE;75014;RUE DE LA LEGION ETRANGERE 75014 Paris France;48.820998, 2.324496
OCEAN'S 12;SODERBERGH STEVEN;26/05/2004;26/05/2004;DOMAINE PUBLIC;TEP DE GRENELLE;75015;TEP DE GRENELLE 75015 Paris France;48.85, 2.3
L'ANNULAIRE;BERTRAND DIANE;24/05/2004;24/05/2004;EXTERIEUR;PLACE DES VOSGES;75004;PLACE DES VOSGES 75004 Paris France;48.85547, 2.366377
LES POUPEES RUSSES;KLAPISCH CEDRIC;17/06/2004;17/06/2004;EXTERIEUR;BOULEVARD MALESHERBES;75008;BOULEVARD MALESHERBES 75008 Paris France;48.876158, 2.318287
LES POUPEES RUSSES;KLAPISCH CEDRIC;25/05/2004;25/05/2004;EXTERIEUR;BOULEVARD MALESHERBES;75008;BOULEVARD MALESHERBES 75008 Paris France;48.876158, 2.318287
LES POUPEES RUSSES;KLAPISCH CEDRIC;28/06/2004;28/06/2004;EXTERIEUR;QUAI DE BOURBON;75004;QUAI DE BOURBON 75004 Paris France;48.853023, 2.355285
LES POUPEES RUSSES;KLAPISCH CEDRIC;16/06/2004;16/06/2004;EXTERIEUR;RUE PIERRE SEMARD;75009;RUE PIERRE SEMARD 75009 Paris France;48.877791, 2.34723
LES ENFANTS;CHRISTIAN VINCENT;24/05/2004;24/05/2004;EXTERIEUR;RUE PROCHE;75012;RUE PROCHE 75012 Paris France;48.82681, 2.353279
LES ENFANTS;CHRISTIAN VINCENT;30/06/2004;30/06/2004;EXTERIEUR;RUE EDOUARD PAILLERON;75019;RUE EDOUARD PAILLERON 75019 Paris France;48.880738, 2.377177
SAN ANTONIO;FREDERIC AUBERTUN;14/08/2003;14/08/2003;EXTERIEUR;AVENUE DE SEGUR;75007;AVENUE DE SEGUR 75007 Paris France;48.850532, 2.308816
SAN ANTONIO;FREDERIC AUBERTUN;16/08/2003;16/08/2003;EXTERIEUR;AVENUE DE SAXE;75007;AVENUE DE SAXE 75007 Paris France;48.848092, 2.310655
SAN ANTONIO;FREDERIC AUBERTUN;18/08/2003;18/08/2003;EXTERIEUR;AVENUE DE SAXE;75007;AVENUE DE SAXE 75007 Paris France;48.848092, 2.310655
SAN ANTONIO;FREDERIC AUBERTUN;15/08/2003;15/08/2003;EXTERIEUR;AVENUE DE SEGUR;75007;AVENUE DE SEGUR 75007 Paris France;48.850532, 2.308816
SAN ANTONIO;FREDERIC AUBERTUN;13/10/2003;13/10/2003;EXTERIEUR;PLACE DU TROCADERO;75016;PLACE DU TROCADERO 75016 Paris France;48.862318, 2.287561
SAN ANTONIO;FREDERIC AUBERTUN;15/10/2003;15/10/2003;EXTERIEUR;QUAI DES ORFEVRES;75001;QUAI DES ORFEVRES 75001 Paris France;48.855464, 2.342859
SAN ANTONIO;FREDERIC AUBERTUN;28/08/2003;28/08/2003;EXTERIEUR;RUE EDOUARD FLAMANT;75013;RUE EDOUARD FLAMANT 75013 Paris France;48.832222, 2.355556
UN LONG DIMANCHE DE FIANCAILLES;JEAN PIERRE JEUNET;27/08/2003;27/08/2003;EXTERIEUR;CARREFOUR DORGELES;75018;CARREFOUR DORGELES 75018 Paris France;48.89215, 2.344447
UN LONG DIMANCHE DE FIANCAILLES;JEAN PIERRE JEUNET;08/06/2003;08/06/2003;EXTERIEUR;PONT ALEXANDRE III;75008;PONT ALEXANDRE III 75008 Paris France;48.863669, 2.313547
TOUT LE PLAISIR EST POUR MOI;ISABELLE BROUE;20/08/2003;20/08/2003;EXTERIEUR;AVENUE SECRETAN;75019;AVENUE SECRETAN   75019 Paris France;48.88086, 2.374119
ONE DOLLAR CURRY;VIJAY SINGH;21/07/2003;21/07/2003;EXTERIEUR;PLACE PAUL ALBERT;75018;PLACE PAUL ALBERT   75018 Paris France;48.886482, 2.345071
ONE DOLLAR CURRY;VIJAY SINGH;21/07/2003;21/07/2003;EXTERIEUR;RUE FONTAINE;75009;RUE FONTAINE 75009 Paris France;48.882139, 2.333733
DOO WOP;DAVID LANZMAN;24/08/2003;24/08/2003;EXTERIEUR;BOULEVARD DES CAPUCINES;75009;BOULEVARD DES CAPUCINES   75009 Paris France;48.870442, 2.331035
DOO WOP;DAVID LANZMAN;15/08/2003;15/08/2003;EXTERIEUR;QUAI DE JEMMAPES;75010;QUAI DE JEMMAPES   75010 Paris France;48.876681, 2.365244
DOO WOP;DAVID LANZMAN;14/08/2003;14/08/2003;EXTERIEUR;QUAI DE JEMMAPES;75010;QUAI DE JEMMAPES   75010 Paris France;48.876681, 2.365244
DOO WOP;DAVID LANZMAN;08/05/2003;08/05/2003;EXTERIEUR;RUE VEYRON;75018;RUE VEYRON 75018 Paris France;48.884861, 2.335714
DOO WOP;DAVID LANZMAN;20/08/2003;20/08/2003;EXTERIEUR;RUE DE RIVOLI;75001;RUE DE RIVOLI 75001 Paris France;48.860787, 2.341197
DOO WOP;DAVID LANZMAN;08/08/2003;08/08/2003;EXTERIEUR;RUE GERMAIN PILON;75018;RUE GERMAIN PILON   75018 Paris France;48.88403, 2.336817
DOO WOP;DAVID LANZMAN;08/12/2003;08/12/2003;EXTERIEUR;RUE DE L'OBSERVATOIRE;75006;RUE DE L'OBSERVATOIRE 75006 Paris France;48.841957, 2.336333
DOO WOP;DAVID LANZMAN;26/08/2003;26/08/2003;EXTERIEUR;RUE SAINT MARC ANGLE R RICHELIEU;75002;RUE SAINT MARC ANGLE R RICHELIEU 75002 Paris France;48.868224, 2.338195
MARIAGE MIXTE;ALEXANDRE ARCADY;08/05/2003;08/05/2003;EXTERIEUR;RUE DE BELLEVILLE;75019;RUE DE BELLEVILLE 75019 Paris France;48.875458, 2.391738
ARSENE LUPIN;JEAN PAUL SALOME;08/12/2003;08/12/2003;EXTERIEUR;PARVIS DE L'EGLISE;75005;PARVIS DE L'EGLISE 75005 Paris France;50.682394, 4.371231
ARSENE LUPIN;JEAN PAUL SALOME;14/08/2003;14/08/2003;EXTERIEUR;RUE DES CHANTRES;75004;RUE DES CHANTRES 75004 Paris France;48.853794, 2.351674
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;27/08/2003;27/08/2003;EXTERIEUR;AVENUE DES CHAMPS ELYSEES;75008;AVENUE DES CHAMPS ELYSEES 75008 Paris France;48.869576, 2.30825
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;27/08/2003;27/08/2003;EXTERIEUR;PLACE DE VARSOVIE;75016;PLACE DE VARSOVIE 75016 Paris France;48.860104, 2.290901
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;27/08/2003;27/08/2003;EXTERIEUR;PONT CHARLES DE GAULLE ETOILE;75008;PONT CHARLES DE GAULLE ETOILE 75008 Paris France;48.874167, 2.311111
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;08/08/2003;08/08/2003;EXTERIEUR;RUE ALBERT 1ER DE MONACO;75016;RUE ALBERT 1ER DE MONACO 75016 Paris France;48.861649, 2.289984
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;08/07/2003;08/07/2003;EXTERIEUR;RUE ALBERT 1ER DE MONACO;75016;RUE ALBERT 1ER DE MONACO 75016 Paris France;48.861649, 2.289984
UN AUTRE QUE MOI;LAURENT TIRARD;22/09/2003;22/09/2003;EXTERIEUR;RUE FRANCOIS 1ER ET AV MONTAIGNE (ANGLE);75008;RUE FRANCOIS 1ER ET AV MONTAIGNE (ANGLE) 75008 Paris France;48.874167, 2.311111
UN AUTRE QUE MOI;LAURENT TIRARD;22/09/2003;22/09/2003;EXTERIEUR;RUE FRANCOIS 1ER ET PL FRANCOIS 1ER (ANGLE);75008;RUE FRANCOIS 1ER ET PL FRANCOIS 1ER (ANGLE) 75008 Paris France;48.874167, 2.311111
UN AUTRE QUE MOI;LAURENT TIRARD;26/08/2003;26/08/2003;EXTERIEUR;RUE MOUFFETARD;75005;RUE MOUFFETARD   75005 Paris France;48.841809, 2.349696
LES 11 COMMANDEMENTS;FRANCOIS DESAGNAT;15/09/2003;15/09/2003;EXTERIEUR;QUAI DU LOUVRE;75001;QUAI DU LOUVRE 75001 Paris France;48.85899, 2.339858
LES 11 COMMANDEMENTS;FRANCOIS DESAGNAT;08/12/2003;08/12/2003;EXTERIEUR;RUE LINCOLN;75008;RUE LINCOLN   75008 Paris France;48.870321, 2.302878
LE SYNDROME DE PETER PAN;A. VIARD;21/08/2003;21/08/2003;EXTERIEUR;BERGES DU VERT GALANT;75001;BERGES DU VERT GALANT 75001 Paris France;48.86, 2.341111
LE SYNDROME DE PETER PAN;A. VIARD;09/03/2003;09/03/2003;EXTERIEUR;BOULEVARD DU MONTPARNASSE;75014;BOULEVARD DU MONTPARNASSE 75014 Paris France;48.841784, 2.329997
LE SYNDROME DE PETER PAN;A. VIARD;09/03/2003;09/03/2003;EXTERIEUR;RUE DELAMBRE;75014;RUE DELAMBRE 75014 Paris France;48.841521, 2.326704
L'EMPREINTE;D. MATHIEU-MAHIAS;25/08/2003;25/08/2003;EXTERIEUR;RUE DE BASSANO;75016;RUE DE BASSANO   75016 Paris France;48.868837, 2.297275
L'EMPREINTE;D. MATHIEU-MAHIAS;09/08/2003;09/08/2003;EXTERIEUR;RUE DU CAPITAINE FERBER;75020;RUE DU CAPITAINE FERBER 75020 Paris France;48.866405, 2.406311
BEFORE SUNSET;RICHARD LINKLATER;29/08/2003;29/08/2003;EXTERIEUR;AVENUE DIDEROT;75012;AVENUE DIDEROT 75012 Paris France;48.846752, 2.381741
BEFORE SUNSET;RICHARD LINKLATER;29/08/2003;29/08/2003;EXTERIEUR;JARDIN DE REUILLY;75012;JARDIN DE REUILLY 75012 Paris France;48.842124, 2.387627
BEFORE SUNSET;RICHARD LINKLATER;27/08/2003;27/08/2003;EXTERIEUR;PLACE DU PANTHON;75005;PLACE DU PANTHON 75005 Paris France;48.845685, 2.345901
BEFORE SUNSET;RICHARD LINKLATER;09/02/2003;09/02/2003;EXTERIEUR;PONT SAINT LOUIS;75004;PONT SAINT LOUIS 75004 Paris France;48.852745, 2.352713
BEFORE SUNSET;RICHARD LINKLATER;09/01/2003;09/01/2003;EXTERIEUR;PONT DE L'ARCHEVECHE;75005;PONT DE L'ARCHEVECHE 75005 Paris France;48.851604, 2.351582
BEFORE SUNSET;RICHARD LINKLATER;09/04/2003;09/04/2003;EXTERIEUR;PROMENADE PLANTEE;75012;PROMENADE PLANTEE 75012 Paris France;48.841171, 2.396585
BEFORE SUNSET;RICHARD LINKLATER;09/01/2003;09/01/2003;EXTERIEUR;QUAI DE L'ARCHEVECHE;75004;QUAI DE L'ARCHEVECHE 75004 Paris France;48.852214, 2.351984
BEFORE SUNSET;RICHARD LINKLATER;09/01/2003;09/01/2003;EXTERIEUR;QUAI DE LA TOURNELLE;75005;QUAI DE LA TOURNELLE 75005 Paris France;48.85042, 2.353546
BEFORE SUNSET;RICHARD LINKLATER;09/01/2003;09/01/2003;EXTERIEUR;QUAI D'ORLEANS;75004;QUAI D'ORLEANS 75004 Paris France;48.851629, 2.354153
BEFORE SUNSET;RICHARD LINKLATER;09/02/2003;09/02/2003;EXTERIEUR;RUE DES BARRES;75004;RUE DES BARRES 75004 Paris France;48.855335, 2.355262
BEFORE SUNSET;RICHARD LINKLATER;09/01/2003;09/01/2003;EXTERIEUR;RUE SAINT PAUL;75004;RUE SAINT PAUL 75004 Paris France;48.853465, 2.361699
BEFORE SUNSET;RICHARD LINKLATER;09/01/2003;09/01/2003;EXTERIEUR;RUE DES BARRES;75004;RUE DES BARRES 75004 Paris France;48.855335, 2.355262
BEFORE SUNSET;RICHARD LINKLATER;09/02/2003;09/02/2003;EXTERIEUR;RUE DES JARDINS SAINT PAUL;75004;RUE DES JARDINS SAINT PAUL 75004 Paris France;48.853236, 2.36042
BEFORE SUNSET;RICHARD LINKLATER;09/01/2003;09/01/2003;EXTERIEUR;RUE JEAN DU BELLAY;75004;RUE JEAN DU BELLAY 75004 Paris France;48.85317, 2.353747
RUE DES SANS PAPIERS;ALAIN CARVILLE;10/02/2003;10/02/2003;EXTERIEUR;AVENUE DU MARECHAL FAYOLLE;75016;AVENUE DU MARECHAL FAYOLLE 75016 Paris France;48.868962, 2.271609
RUE DES SANS PAPIERS;ALAIN CARVILLE;10/06/2003;10/06/2003;EXTERIEUR;BOULEVARD DIDEROT;75012;BOULEVARD DIDEROT   75012 Paris France;48.846752, 2.381741
RUE DES SANS PAPIERS;ALAIN CARVILLE;23/09/2003;23/09/2003;EXTERIEUR;BOULEVARD RASPAIL;75007;BOULEVARD RASPAIL 75007 Paris France;48.85137, 2.326806
RUE DES SANS PAPIERS;ALAIN CARVILLE;26/09/2003;26/09/2003;EXTERIEUR;QUAI DE JEMMAPES;75010;QUAI DE JEMMAPES 75010 Paris France;48.876681, 2.365244
RUE DES SANS PAPIERS;ALAIN CARVILLE;20/09/2003;20/09/2003;EXTERIEUR;RUE MAURICE UTRILLO ET R P. ALBERT (ANGLE);75018;RUE MAURICE UTRILLO ET R P. ALBERT (ANGLE) 75018 Paris France;48.89215, 2.344447
L'AMERICAIN;PATRICK TIMSIT;12/01/2003;12/01/2003;EXTERIEUR;ALLEE DES CYGNES;75015;ALLEE DES CYGNES 75015 Paris France;48.85338, 2.284427
L'AMERICAIN;PATRICK TIMSIT;18/11/2003;18/11/2003;EXTERIEUR;PLACE DE LA CONCORDE;75008;PLACE DE LA CONCORDE 75008 Paris France;48.865519, 2.321454
ILS SE MARIERENT ET EURENT BEAUCOUP D'ENFANTS;YVAN ATTAL;30/10/2003;30/10/2003;EXTERIEUR;AVENUE PARMENTIER;75011;AVENUE PARMENTIER 75011 Paris France;48.864882, 2.374877
ILS SE MARIERENT ET EURENT BEAUCOUP D'ENFANTS;YVAN ATTAL;18/11/2003;18/11/2003;EXTERIEUR;AVENUE DES TERNES ET AV NIEL (ANGLE);75017;AVENUE DES TERNES ET AV NIEL (ANGLE) 75017 Paris France;48.882244, 2.307839
AUTOMNE;RA'UP MCGEE;31/10/2003;31/10/2003;EXTERIEUR;CITE JOLY;75011;CITE JOLY 75011 Paris France;48.862388, 2.383033
AUTOMNE;RA'UP MCGEE;15/10/2003;15/10/2003;EXTERIEUR;IMPASSE MONT LOUIS;75011;IMPASSE MONT LOUIS 75011 Paris France;48.857363, 2.388505
DEUX SYLLABES EN ARRIERES;KATARINA SULAJOVA;30/09/2003;30/09/2003;EXTERIEUR;PONT BIR HAKEIM;75015;PONT BIR HAKEIM 75015 Paris France;48.855712, 2.287752
DEUX SYLLABES EN ARRIERES;KATARINA SULAJOVA;30/09/2003;30/09/2003;EXTERIEUR;QUAI DE JEMMAPES;75010;QUAI DE JEMMAPES 75010 Paris France;48.876681, 2.365244
TROIS COUPLES EN QUETE D'ORAGES;JACQUES OTMEZGUINE;10/07/2003;10/07/2003;EXTERIEUR;AVENUE DE LAMBALLE;75016;AVENUE DE LAMBALLE   75016 Paris France;48.854494, 2.281401
AU SECOURS, J'AI TRENTE ANS;MARIE-ANNE CHAZEL;10/10/2003;10/10/2003;EXTERIEUR;AVENUE DES NATIONS-UNIES;75016;AVENUE DES NATIONS-UNIES 75016 Paris France;48.86023, 2.290607
AU SECOURS, J'AI TRENTE ANS;MARIE-ANNE CHAZEL;10/10/2003;10/10/2003;EXTERIEUR;BOULEVARD DE VAUGIRARD;75015;BOULEVARD DE VAUGIRARD 75015 Paris France;48.841455, 2.317865
POINT DE RUPTURE;BLAISE GIULANI;10/12/2003;10/12/2003;EXTERIEUR;RUE RAMPONNEAU;75020;RUE RAMPONNEAU 75020 Paris France;48.871342, 2.380342
UN HOMME, UN VRAI;JEAN-MARIE LARRIEU;18/04/2002;18/04/2002;EXTERIEUR;RUE DE MALTE;75011;RUE DE MALTE 75011 Paris France;48.865692, 2.367782
AU ROYAUME DES CIEUX;V. BRUNI-TEDESCHI;28/08/2002;28/08/2002;EXTERIEUR;RUE VICTOR-COUSIN;75005;RUE VICTOR-COUSIN 75005 Paris France;48.847808, 2.34242
BON VOYAGE;JEAN PAUL RAPPENEAU;25/07/2002;25/07/2002;EXTERIEUR;AVENUE FOCH CONTRE ALLEE ET PELOUSE;75007;AVENUE FOCH CONTRE ALLEE ET PELOUSE 75007 Paris France;48.859167, 2.312778
BON VOYAGE;JEAN PAUL RAPPENEAU;23/07/2002;23/07/2002;EXTERIEUR;AVENUE CHARLES FLOQUET;75007;AVENUE CHARLES FLOQUET 75007 Paris France;48.854626, 2.296756
BON VOYAGE;JEAN PAUL RAPPENEAU;08/12/2002;08/12/2002;EXTERIEUR;AVENUE DES PORT;75016;AVENUE DES PORT 75016 Paris France;48.869468, 2.334051
BON VOYAGE;JEAN PAUL RAPPENEAU;26/08/2002;26/08/2002;EXTERIEUR;PLACE SUZANNE VALADON;75018;PLACE SUZANNE VALADON 75018 Paris France;48.884466, 2.342477
BON VOYAGE;JEAN PAUL RAPPENEAU;26/11/2002;26/11/2002;EXTERIEUR;PONT ALEXANDRE III;75008;PONT ALEXANDRE III 75008 Paris France;48.863669, 2.313547
BON VOYAGE;JEAN PAUL RAPPENEAU;15/08/2002;15/08/2002;EXTERIEUR;RUE DE MONTPENSIER;75001;RUE DE MONTPENSIER 75001 Paris France;48.86501, 2.336908
THE DREAMERS;BERNARDO BERTOLUCCI;31/07/2002;31/07/2002;EXTERIEUR;AVENUE ALBERT DE MUN;75016;AVENUE ALBERT DE MUN 75016 Paris France;48.863064, 2.291776
THE DREAMERS;BERNARDO BERTOLUCCI;21/09/2002;21/09/2002;EXTERIEUR;AVENUE DE MESSINE;75008;AVENUE DE MESSINE 75008 Paris France;48.876521, 2.31272
THE DREAMERS;BERNARDO BERTOLUCCI;08/08/2002;08/08/2002;EXTERIEUR;PASSERELLE DEBILLY;75007;PASSERELLE DEBILLY 75007 Paris France;48.861718, 2.297551
THE DREAMERS;BERNARDO BERTOLUCCI;08/02/2002;08/02/2002;EXTERIEUR;RUE BEETHOVEN;75016;RUE BEETHOVEN 75016 Paris France;48.858449, 2.287319
