titre;realisateur;date_debut;date_fin;cadre;lieu;arrondissement;adresse_complete;geo_coordinates
IVERPATTALAM;MUTHUVAIRU PALANI;07/03/2008;07/03/2008;EXTERIEUR;AVENUE HUSSEIN 1ER DE JORDANIE;75016;AVENUE HUSSEIN 1ER DE JORDANIE 75016 Paris France;48.861649, 2.289984
IVERPATTALAM;MUTHUVAIRU PALANI;07/04/2008;07/04/2008;EXTERIEUR;QUAI DE LA TOURNELLE;75005;QUAI DE LA TOURNELLE 75005 Paris France;48.85042, 2.353546
THE REBOUND;B. FREUNDLICH;07/01/2008;07/01/2008;EXTERIEUR;AVENUE HENRI MARTIN;75016;AVENUE HENRI MARTIN 75016 Paris France;
THE REBOUND;B. FREUNDLICH;07/01/2008;07/01/2008;EXTERIEUR;PONT SAINT LOUIS;75004;PONT SAINT LOUIS 75004 Paris France;48.852745, 2.352713
THE REBOUND;B. FREUNDLICH;07/01/2008;07/01/2008;EXTERIEUR;QUAI BOURBON;75004;QUAI BOURBON 75004 Paris France;48.853023, 2.355285
LE PETIT NICOLAS;LAURENT TIRARD;08/11/2008;08/11/2008;EXTERIEUR;AVENUE JUNOT;75018;AVENUE JUNOT 75018 Paris France;48.88811, 2.336022
LE PETIT NICOLAS;LAURENT TIRARD;18/09/2008;18/09/2008;EXTERIEUR;RUE GEORGES PEREC;75020;RUE GEORGES PEREC 75020 Paris France;
LE PETIT NICOLAS;LAURENT TIRARD;18/09/2008;18/09/2008;EXTERIEUR;RUE IRENEE BLANC;75020;RUE IRENEE BLANC 75020 Paris France;48.866141, 2.40806
LE PETIT NICOLAS;LAURENT TIRARD;17/09/2008;17/09/2008;EXTERIEUR;RUE GEORGE PEREC;75020;RUE GEORGE PEREC 75020 Paris France;
LE COACH;OLIVIER DORAN;09/05/2008;09/05/2008;EXTERIEUR;PONT ALEXANDRE III;75007;PONT ALEXANDRE III 75007 Paris France;48.863663, 2.313554
LE COACH;OLIVIER DORAN;25/07/2008;25/07/2008;EXTERIEUR;RUE D'AUSTERLITZ;75012;RUE D'AUSTERLITZ 75012 Paris France;48.847007, 2.370653
LA BLONDE AUX SEINS NUS;MANUEL PRADAL;20/09/2008;20/09/2008;DOMAINE PUBLIC;BERGES BASSES DU QUAI DES GRANDS AUGUSTINS;75006;BERGES BASSES DU QUAI DES GRANDS AUGUSTINS 75006 Paris France;
LA BLONDE AUX SEINS NUS;MANUEL PRADAL;29/07/2008;29/07/2008;EXTERIEUR;PONT SAINT MICHEL;75005;PONT SAINT MICHEL 75005 Paris France;48.854057, 2.344621
LA BLONDE AUX SEINS NUS;MANUEL PRADAL;09/05/2008;09/05/2008;DOMAINE PUBLIC;QUAI MONTEBELLO (BERGES;75005;QUAI MONTEBELLO (BERGES 75005 Paris France;
LA BLONDE AUX SEINS NUS;MANUEL PRADAL;09/10/2008;09/10/2008;EXTERIEUR;QUAI DES GRANDS AUGUSTINS;75006;QUAI DES GRANDS AUGUSTINS 75006 Paris France;48.854679, 2.342401
LA BLONDE AUX SEINS NUS;MANUEL PRADAL;09/09/2008;09/09/2008;DOMAINE PUBLIC;QUAI MONTEBELLO (BERGES;75005;QUAI MONTEBELLO (BERGES 75005 Paris France;
MA MEC A MOI;J.J.ZILBERMANN;09/04/2008;09/04/2008;EXTERIEUR;BOULEVARD BARBES;75018;BOULEVARD BARBES 75018 Paris France;48.887872, 2.34953
