ville;titre;lieu;date_debut;date_fin
paris;LA PREMIERE FOIS QUE J'AI EU 20 ANS;AVENUE TRUDAINE;30/10/2003;30/10/2003
paris;CAUSE TOUJOURS;RUE DU FAUBOURG SAINT DENIS;28/11/2003;28/11/2003
paris;THE JETWISH TOY MERCHANT;BOULEVARD DE GRENELLE;11/06/2003;11/06/2003
paris;ENTRE VIVRE ET REVER;PARC DU CHAMP DE MARS;11/05/2003;11/05/2003
paris;ENTRE VIVRE ET REVER;PARVIS NOTRE DAME;11/04/2003;11/04/2003
paris;ENTRE VIVRE ET REVER;PLACE DU CHATEAU ROUGE;11/03/2003;11/03/2003
paris;BEUR ET MARGARINE;AVENUE LEDRU ROLLIN;12/12/2003;12/12/2003
paris;BEUR ET MARGARINE;BOULEVARD DE LA CHAPELLE;16/03/2004;16/03/2004
paris;BEUR ET MARGARINE;PLACE JUSSIEU;12/04/2003;12/04/2003
paris;BEUR ET MARGARINE;PLACE STALINGRAD;15/12/2003;15/12/2003
paris;BEUR ET MARGARINE;RUE ARSENE HOUSSAYE;17/11/2003;17/11/2003
paris;BEUR ET MARGARINE;RUE CAMPO FORMIO/BD DE L'HOPITAL (ANGLE);15/03/2004;15/03/2004
paris;BEUR ET MARGARINE;RUE DE LA BUTTE AUX CAILLES;24/11/2003;24/11/2003
paris;BEUR ET MARGARINE;RUE CLOVIS;12/04/2003;12/04/2003
paris;A TOUT DE SUITE;RUE DU ROCHER;19/11/2003;19/11/2003
paris;LE SOUFFLEUR;ALLEE DES CYGNES;19/01/2004;19/01/2004
paris;LE SOUFFLEUR;RUE RONSARD;31/12/2003;31/12/2003
paris;PEOPLE - JET SET 2;AVENUE DE BRETEUL;12/04/2003;12/04/2003
paris;PEOPLE - JET SET 2;AVENUE D'IENA;12/12/2003;12/12/2003
paris;NO WAY;RUE SAINT FARGEAU   ET ABORDS;12/09/2003;12/09/2003
paris;NO WAY;RUE BOURSAULT;15/12/2003;15/12/2003
paris;TZAMETI;RUE GABRIEL LAUMAIN;21/12/2003;21/12/2003
paris;ETAT AMOUREUX;BOULEVARD MORTIER;22/12/2003;22/12/2003
paris;ETAT AMOUREUX;MARCHE CARRE AUX ARTISTES;19/12/2003;19/12/2003
paris;ETAT AMOUREUX;RUE BIOT;18/12/2003;18/12/2003
paris;ETAT AMOUREUX;RUE CAULAINCOURT ET ABORDS;20/12/2003;20/12/2003
paris;LE COURAGE D'AIMER (LE BONHEUR C'EST MIEUX QUE LA VIE);AVENUE TERNES;30/06/2004;30/06/2004
paris;LE COURAGE D'AIMER (LE BONHEUR C'EST MIEUX QUE LA VIE);AVENUE DES TERNES;29/06/2004;29/06/2004
paris;LE COURAGE D'AIMER (LE BONHEUR C'EST MIEUX QUE LA VIE);PONT ALEXANDRE III;29/06/2004;29/06/2004
paris;LE COURAGE D'AIMER (LE BONHEUR C'EST MIEUX QUE LA VIE);RUE LAMARCK;14/01/2004;14/01/2004
paris;PEDALE DURE;AVENUE MONTAIGNE;17/03/2004;17/03/2004
paris;PEDALE DURE;PLACE IGOR STRAVINSKY;20/01/2004;20/01/2004
paris;PEDALE DURE;RUE SAINT MERRI;01/08/2004;01/08/2004
paris;PEDALE DURE;RUE DES JUGES CONSULS;19/01/2004;19/01/2004
paris;TU VAS RIRE MAIS JE TE QUITTE;RUE PRINCESSE;29/03/2004;29/03/2004
paris;VAHE/ LES MAUVAIS jOUEURS;BOULEVARD SEBASTOPOL ET DU BD ST DENIS;13/01/2004;13/01/2004
paris;VAHE/ LES MAUVAIS jOUEURS;BOULEVARD MAGENTA;03/05/2004;03/05/2004
paris;VAHE/ LES MAUVAIS jOUEURS;RUE DE BELLEVILLE;29/01/2004;29/01/2004
paris;VAHE/ LES MAUVAIS jOUEURS;RUE CIVIALE;30/01/2004;30/01/2004
paris;VAHE/ LES MAUVAIS jOUEURS;RUE DU RENDEZ-VOUS;16/02/2004;16/02/2004
paris;L'EX FEMME DE MA VIE;RUE CENSIER;26/03/2004;26/03/2004
paris;L'EX FEMME DE MA VIE;RUE CLAUDE BERNARD;23/02/2004;23/02/2004
paris;L'EX FEMME DE MA VIE;SQUARE SAINT MEDARD;31/03/2004;31/03/2004
paris;36;QUAI DE L'ALLIER;25/02/2004;25/02/2004
paris;TRAVAUX;PLACE JOHANN STRAUSS;26/03/2004;26/03/2004
paris;TRAVAUX;RUE DE LANCRY;26/03/2004;26/03/2004
paris;LE PLUS BEAU JOUR DE MA VIE;PONT DU GARIGLIANO;27/02/2004;27/02/2004
paris;LES GENS HONNETES VIVENT EN FRANCE;RUE DE TOLBIAC/RUE NATIONALE (ANGLE);03/02/2004;03/02/2004
paris;LE PONT DES ARTS;BERGES DU QUAI DU LOUVRE;25/03/2004;25/03/2004
paris;LE PONT DES ARTS;QUAI DU LOUVRE;23/03/2004;23/03/2004
paris;QUAND LES ANGES S'EN MELENT;RUE DU MARCHE;22/03/2004;22/03/2004
paris;QUAND LES ANGES S'EN MELENT;RUE PELLEPORT;18/03/2004;18/03/2004
paris;LES SOEURS FACHEES;RUE DE RENNES;24/02/2004;24/02/2004
paris;L'EMPIRE DES LOUPS;BOULEVARD DE LA VILLETTE;04/02/2004;04/02/2004
paris;L'EMPIRE DES LOUPS;ESCALIERS CRYPTE;27/02/2004;27/02/2004
paris;L'EMPIRE DES LOUPS;PARKING DES ARCHIVES DE PARIS;20/04/2004;20/04/2004
paris;L'EMPIRE DES LOUPS;RUE DE LUTECE;27/02/2004;27/02/2004
paris;LE CARTON;BOULEVARD DES BATIGNOLLES;15/03/2004;15/03/2004
paris;LE CARTON;BOULEVARD DES BATIGNOLLES;16/03/2004;16/03/2004
paris;LE CARTON;BOULEVARD DES BATIGNOLLES;17/03/2004;17/03/2004
paris;LE CARTON;RUE LECLUSE;15/03/2004;15/03/2004
paris;LE CARTON;RUE CAROLINE;22/03/2004;22/03/2004
paris;LE CARTON;RUE CAROLINE;18/03/2004;18/03/2004
paris;LE CARTON;RUE CAROLINE;15/03/2004;15/03/2004
paris;LE CARTON;RUE BIOT;23/03/2004;23/03/2004
paris;LE CARTON;RUE BIOT;22/03/2004;22/03/2004
paris;LE CARTON;RUE DARCET;25/03/2004;25/03/2004
paris;LE CARTON;RUE DE RIVOLI;29/03/2004;29/03/2004
paris;LE CARTON;RUE BIOT;17/03/2004;17/03/2004
paris;LE CARTON;RUE LECLUSE;24/03/2004;24/03/2004
paris;DE BATTRE MON COEUR S'EST ARRETE;AVENUE GEORGE V;29/04/2004;29/04/2004
paris;MON SEJOUR EN FRANCE;PONT DE BERCY;06/05/2004;06/05/2004
paris;DANS TES REVES;BOULEVARD BERTHIER;07/12/2004;07/12/2004
paris;DANS TES REVES;RUE DU FAUBOURG DU TEMPLE;06/03/2004;06/03/2004
paris;DANS TES REVES;RUE DU FAUBOURG DU TEMPLE;06/04/2004;06/04/2004
paris;DANS TES REVES;RUE DES TAILLANDIERS;27/05/2004;27/05/2004
paris;DANS TES REVES;RUE DU FAUBOURG POISSONNIERE;07/12/2004;07/12/2004
paris;DANS TES REVES;RUE EMILE CHAINE;28/06/2004;28/06/2004
paris;CODE 68;JARDIN MARCO POLO;06/08/2004;06/08/2004
paris;LE TEMPS QUI RESTE;RUE SORBIER;06/08/2004;06/08/2004
paris;BANLIEUE 13;RUE EDMOND ABOUT;13/09/2004;13/09/2004
paris;UN PRINTEMPS A PARIS;PLACE DE L'OPERA;15/07/2004;15/07/2004
paris;UN PRINTEMPS A PARIS;RUE D'ANDIGNE;06/07/2004;06/07/2004
paris;UN PRINTEMPS A PARIS;RUE D'ANDIGNE;28/06/2004;07/02/2004
paris;LA PANTHERE ROSE;PLACE DE LA CONCORDE;23/06/2004;23/06/2004
paris;LA PANTHERE ROSE;QUAI SAINT EXUPERY;21/07/2004;21/07/2004
paris;LA PANTHERE ROSE;QUAI LOUIS BLERIOT;07/02/2004;07/02/2004
paris;LES AMANTS REGULIERS;CITE AUBRY;22/07/2004;22/07/2004
paris;LES AMANTS REGULIERS;CITE TREVISE;21/08/2004;21/08/2004
paris;LES AMANTS REGULIERS;PONT NEUF;07/05/2004;07/05/2004
paris;LES AMANTS REGULIERS;RUE DE LA MONTAGNE SAINTE GENEVIEVE;17/07/2004;17/07/2004
paris;LES AMANTS REGULIERS;RUE DES ARTISTES;24/08/2004;24/08/2004
paris;LES AMANTS REGULIERS;RUE DE BIEVRE;16/07/2004;16/07/2004
paris;LES AMANTS REGULIERS;RUE SAINT YVES;24/08/2004;24/08/2004
paris;LES AMANTS REGULIERS;RUE SAINT JOSEPH;07/03/2004;07/03/2004
paris;LES AMANTS REGULIERS;RUE SAINT ETIENNE DU MONT;17/07/2004;17/07/2004
paris;LES AMANTS REGULIERS;RUE DE L'ABREUVOIR;08/03/2004;08/03/2004
paris;EMMENEZ MOI;JARDIN DE LAPLACE DE LA PORT;29/06/2004;29/06/2004
paris;LE TEMPS D'UN REGARD;RUE SAINT  MAUR/R J.P. TIMBAUD (ANGLE);07/08/2004;07/08/2004
paris;VIDHYADHI;ALLEE MARCEL PROUST;15/07/2004;15/07/2004
paris;VIDHYADHI;PONT DE L'ALMA;07/12/2004;07/12/2004
paris;UNE AVENTURE (LA BELLE IMAGE);AVENUE DE FLANDRE;23/07/2004;24/07/2004
paris;UNE AVENTURE (LA BELLE IMAGE);AVENUE DE FLANDRE ET ALLEE CENTRALE;13/08/2004;13/08/2004
paris;LES CHEVALIERS DU CIEL;PLACE DE LA CONCORDE;14/07/2004;14/07/2004
paris;LES CHEVALIERS DU CIEL;PLACE CLEMENCEAU;14/07/2004;14/07/2004
paris;LES CHEVALIERS DU CIEL;RUE DE LA PLANCHE;25/11/2004;25/11/2004
paris;GODZILLA;RUE DU MONT CENIS;24/07/2004;26/07/2004
paris;KATHIRKAALAM;PONT NEUF;29/07/2004;29/07/2004
paris;LE DEMON DE MIDI;RUE ELEUTHERE;16/09/2004;16/09/2004
paris;LE DEMON DE MIDI;RUE DE LA MOUZAIA;23/09/2004;23/09/2004
paris;AU SUIVANT;RUE DES LOMBARDS;21/08/2004;21/08/2004
paris;AU SUIVANT;RUE BOIS;18/08/2004;18/08/2004
paris;SAUF LE RESPECT QUE JE VOUS DOIS;RUE MYRHA/R POULET (CROISEMENT);29/09/2004;29/09/2004
paris;VIRGIL/BONIMENTEUR;RUE DES PANOYAUX;16/08/2004;16/08/2004
paris;VIRGIL/BONIMENTEUR;RUE OBERKAMPF;16/08/2004;16/08/2004
paris;VIRGIL/BONIMENTEUR;RUE VICTOR LETALLE;16/08/2004;16/08/2004
paris;GABRIELLE;AVENUE RUYSDAEL;16/08/2004;16/08/2004
paris;LES PARRAINS;CARREFOUR OLIVIER-METRA ET F. LEMAITRE;27/10/2004;30/10/2004
paris;LES PARRAINS;PLACE VENDOME;26/09/2004;26/09/2004
paris;UN COUPLE PARFAIT;RUE DE L'ABBE GROULT;09/10/2004;09/10/2004
paris;UN COUPLE PARFAIT;RUE SAINT LAZARE;09/06/2004;09/06/2004
paris;MA VIE EN L'AIR;RUE OSWALDO-CRUZ;10/07/2004;10/07/2004
paris;MA VIE EN L'AIR;RUE PECLET;26/10/2004;26/10/2004
paris;L'ENFER;BOULEVARD VINCENT AURIOL;24/11/2004;24/11/2004
paris;TEEN SPIRIT;RUE DU CHEVALIER DE LA BARRE;31/07/2006;31/07/2006
paris;TEEN SPIRIT;RUE DEJEAN;09/02/2006;09/02/2006
paris;TEEN SPIRIT;RUE SAINT RUSTIQUE;31/07/2006;31/07/2006
paris;TEEN SPIRIT;RUE COUSTOU;09/12/2006;09/12/2006
paris;TEEN SPIRIT;RUE DU POULET;09/02/2006;09/02/2006
paris;TEEN SPIRIT;RUE CORTOT;31/07/2006;31/07/2006
paris;TEEN SPIRIT;RUE JOUFFROY D'ABBAN;08/03/2006;08/04/2006
paris;NE TE RETOURNE PAS;AVENUE JUNOT;24/07/2006;24/07/2006
paris;NE TE RETOURNE PAS;BOULEVARD DE CLICHY;31/07/2006;31/07/2006
paris;NE TE RETOURNE PAS;PLACE DE L'ODEON;17/11/2007;17/11/2007
paris;NE TE RETOURNE PAS;RUE DU SAHEL;25/07/2006;25/07/2006
paris;NE TE RETOURNE PAS;RUE MONSIEUR LE PRINCE;17/11/2007;17/11/2007
paris;NE TE RETOURNE PAS;RUE CASIMIR DELAVIGNE;17/11/2007;17/11/2007
paris;NE TE RETOURNE PAS;RUE DU GRIL;20/11/2007;20/11/2007
paris;AVANT QUE J'OUBLIE;RUE CAULAINCOURT;15/08/2006;15/08/2006
paris;AVANT QUE J'OUBLIE;RUE DUPERRE;15/08/2006;15/08/2006
paris;CHRYSALIS (AVATAR);AVENUE DE FRANCE ANGLE RUE NEUVE TOLBIAC;11/03/2006;11/03/2006
paris;CHRYSALIS (AVATAR);BOULEVARD RICHARD LENOIR;09/12/2006;14/09/2006
paris;UN CHATEAU EN ESPAGNE;PLACE THEOPHILE RIVIERE;08/12/2006;08/12/2006
paris;UN CHATEAU EN ESPAGNE;PONT SAINT LOUIS;09/07/2006;09/07/2006
paris;UN CHATEAU EN ESPAGNE;RUE DE CLICHY (DEVANT LE CASINO DE PARIS);17/08/2006;17/08/2006
paris;FRAGILE(S);QUAI D'AUSTERLITZ;18/08/2006;18/08/2006
paris;FRAGILE(S);QUAI DE BETHUNE;09/07/2006;09/07/2006
paris;LA VIE D'ARTISTE;RUE DES FOSSES SAINT JACQUES;31/08/2006;31/08/2006
paris;LA VIE D'ARTISTE;RUE DU BEAUJOLAIS;25/08/2006;25/08/2006
paris;LA VIE D'ARTISTE;TUNNEL DE BERCT;28/08/2006;28/08/2006
paris;DEMANDEZ LA PERMISSION AUX ENFANTS;RUE DES PANOYAUX;27/07/2006;27/07/2006
paris;JE DETESTE LES ENFANTS DES AUTRES;BOULEVARD DIDEROT;08/09/2006;08/09/2006
paris;L'AMOUR CACHE;PLACE DES VICTOIRES;20/08/2006;20/08/2006
paris;L'AMOUR CACHE;PLACE DU 18 JUIN 1940;17/08/2006;17/08/2006
paris;L'AMOUR CACHE;PORT DE LA TOURNELLE;23/08/2006;23/08/2006
paris;L'AMOUR CACHE;RUE SAINT DOMINIQUE;17/08/2006;17/08/2006
paris;RUSH HOUR 3;AVENUE DUQUESNE;28/04/2007;28/04/2007
paris;RUSH HOUR 3;AVENUE DE SUFFREN;28/04/2007;28/04/2007
paris;RUSH HOUR 3;AVENUE WINSTON CHRUCHILL;20/08/2006;20/08/2006
paris;RUSH HOUR 3;AVENUE DE SUFFREN;26/08/2006;26/08/2006
paris;RUSH HOUR 3;AVENUE DE NEW YORK;10/03/2006;10/06/2006
paris;RUSH HOUR 3;CARREFOUR RICHELIEU-DROUOT;18/04/2007;18/04/2007
paris;RUSH HOUR 3;PARC DU CHAMP DE MARS;16/10/2006;18/10/2006
paris;RUSH HOUR 3;PLACE CHARLES DE GAULLE;14/10/2006;14/10/2006
paris;RUSH HOUR 3;PONT D'IENA;10/03/2006;10/06/2006
paris;RUSH HOUR 3;PONT DU CARROUSEL;10/07/2006;10/07/2006
paris;RUSH HOUR 3;QUAI D'ORSAY;10/07/2006;10/07/2006
paris;RUSH HOUR 3;RUE BOUCHUT;21/08/2006;22/08/2006
paris;RUSH HOUR 3;RUE LE PELLETIER;18/04/2007;18/04/2007
paris;RUSH HOUR 3;RUE DE LISBONNE;15/10/2006;15/10/2006
paris;RUSH HOUR 3;RUE CESAR FRANCK;10/08/2006;10/08/2006
paris;JEUNES, BEAUX....MAIS DETRAQUES;RUE EDMOND  MICHELET;25/10/2002;25/10/2002
paris;JEUNES, BEAUX....MAIS DETRAQUES;RUE DU DOCTEUR GERMAIN SEE;18/10/2002;18/10/2002
paris;JEUNES, BEAUX....MAIS DETRAQUES;RUE REBEVAL;08/03/2002;08/03/2002
paris;JEUNES, BEAUX....MAIS DETRAQUES;RUE TILSITT;17/10/2002;17/10/2002
paris;CHOUCHOU;AVENUE FOCH;20/08/2002;20/08/2002
paris;CHOUCHOU;PASSAGE LATHUILLE;30/09/2002;30/09/2002
paris;CHOUCHOU;PASSAGE LATHUILLE;10/03/2002;10/03/2002
paris;CHOUCHOU;PLACE CLICHY;19/08/2002;19/08/2002
paris;A LA PETITE SEMAINE;BOULEVARD MASSENA/RUE F. WIDAL (ANGLE);19/08/2002;19/08/2002
paris;A LA PETITE SEMAINE;PLACE VAUBAN;20/08/2002;20/08/2002
paris;FILLES UNIQUES;BOULEVARD VOLTAIRE;26/08/2002;26/08/2002
paris;FILLES UNIQUES;RUE LACUEE;09/10/2002;09/10/2002
paris;FILLES UNIQUES;RUE JULES CESAR;09/04/2002;09/04/2002
paris;FILLES UNIQUES;RUE MARBEUF;30/09/2002;30/09/2002
paris;FILLES UNIQUES;RUE BISCORNET;09/10/2002;09/10/2002
paris;MAUVAIS ESPRIT;QUAI BRANLY;25/09/2002;25/09/2002
paris;MAUVAIS ESPRIT;RUE JEAN ANOUILH;21/09/2002;21/09/2002
paris;MAUVAIS ESPRIT;RUE EMILE DURKHEIM ET JEAN ANOUILH (ANGLE);10/05/2002;10/05/2002
paris;LAISSE TES MAINS SUR MES HANCHES;AVENUE HUSSEIN 1ER DE JORDANIE;12/02/2002;12/02/2002
paris;LAISSE TES MAINS SUR MES HANCHES;PASSAGE GEFFROY DIDELOT;21/10/2002;21/10/2002
paris;LAISSE TES MAINS SUR MES HANCHES;RUE DE LEVIS;21/10/2002;21/10/2002
paris;LAISSE TES MAINS SUR MES HANCHES;RUE DE LA TERRASSE;21/10/2002;21/10/2002
paris;LAISSE TES MAINS SUR MES HANCHES;RUE GUICHARD;12/02/2002;12/02/2002
paris;TAIS TOI;AVENUE EMILE DECHANEL;13/01/2003;13/01/2003
paris;TAIS TOI;AVENUE DUQUESNE;13/01/2003;13/01/2003
paris;TAIS TOI;AVENUE DORIAN;10/10/2002;10/10/2002
paris;TAIS TOI;COUR SAINT EMILION;01/06/2003;01/06/2003
paris;TAIS TOI;PLACE DU DOCTEUR FOURNIER;25/03/2003;25/03/2003
paris;TAIS TOI;PLACE EMILE GOUDEAU;13/02/2003;13/02/2003
paris;TAIS TOI;RUE DU GENERAL-BLAISE;10/02/2002;10/02/2002
paris;TAIS TOI;RUE BREMONTIER;02/09/2003;02/09/2003
paris;TAIS TOI;RUE BREMONTIER;02/11/2003;02/11/2003
paris;TAIS TOI;RUE CESAR-FRANCK;23/09/2002;23/09/2002
paris;LES CLEFS DE BAGNOLE;CITE CHARLES GODON;14/04/2003;14/04/2003
paris;LES CLEFS DE BAGNOLE;RUE DE L'AGENT BAILLY;15/04/2003;15/04/2003
paris;LES CLEFS DE BAGNOLE;RUE BACHAUMONT;21/10/2002;21/10/2002
paris;LES CLEFS DE BAGNOLE;RUE DES MEUNIERS;15/04/2003;15/04/2003
paris;LES CLEFS DE BAGNOLE;RUE DE MONTORGUEIL;21/10/2002;21/10/2002
paris;LES CLEFS DE BAGNOLE;RUE PAUL BERT;24/09/2002;24/09/2002
paris;LES CLEFS DE BAGNOLE;RUE DE LA TOUR D'AUVERGNE;15/04/2003;15/04/2003
paris;TA SOEUR;BOULEVARD DE LA VILLETTE;10/03/2002;10/03/2002
paris;TA SOEUR;PLACE DE LA BATAILLE DE STALINGRAD;10/03/2002;10/03/2002
paris;TA SOEUR;QUAI DE VALMY;10/03/2002;10/03/2002
paris;TA SOEUR;RUE CHARRIERE;10/03/2002;10/03/2002
paris;ORGANISATION;PLACE DU CHATELET;26/09/2002;26/09/2002
paris;ORGANISATION;PONT DE L'ARCHEVECHE;26/09/2002;26/09/2002
paris;ORGANISATION;QUAI DE BOURBON ET BERGES;26/09/2002;26/09/2002
paris;ORGANISATION;RUE JACQUES IBERT;10/01/2002;10/01/2002
paris;BLIND DATE;AVENUE NIEL;10/06/2002;10/06/2002
paris;BLIND DATE;AVENUE VICTOR HUGO;10/04/2002;10/04/2002
paris;BLIND DATE;BOULEVARD SAINT GERMAIN;10/04/2002;10/04/2002
paris;BLIND DATE;PONT DES ARTS;10/05/2002;10/05/2002
paris;BLIND DATE;RUE BONAPARTE;10/06/2002;10/06/2002
paris;BLIND DATE;RUE JACOB;10/05/2002;10/05/2002
paris;BLIND DATE;RUE VICONTI;10/05/2002;10/05/2002
paris;APRES VOUS;RUE CHAMPIONNET ET DU POTEAU / ANGLE;12/12/2002;12/12/2002
paris;APRES VOUS;RUE DE L'ENCHEVAL;15/11/2002;15/11/2002
paris;APRES VOUS;RUE DE CHALIGNY/R HERARD (ANGLE);25/11/2002;25/11/2002
paris;APRES VOUS;RUE BOTZARIS ET DE LA VILLETTE (ANGLE);15/10/2002;15/10/2002
paris;HISTOIRE DE MARIE ET JULIEN;CARREFOUR DE LA CROIX ROUGE;10/08/2002;10/08/2002
paris;HISTOIRE DE MARIE ET JULIEN;JARDIN DE BAGATELLE;10/07/2002;10/07/2002
paris;HISTOIRE DE MARIE ET JULIEN;PARC DE BAGATELLE;23/10/2002;23/10/2002
paris;7 ANS DE MARIAGE....;RUE TRAVERSIERE;19/11/2002;19/11/2002
paris;7 ANS DE MARIAGE....;RUE DE LYON;19/11/2002;19/11/2002
paris;GRANDE ECOLE;ALLEE ARTHUR RIMBAUD;10/11/2002;10/11/2002
paris;TIRESIA;ALLEE DARIUS MILHAUD;20/11/2002;20/11/2002
paris;TIRESIA;AVENUE TRUDAINE;14/12/2002;14/12/2002
paris;TIRESIA;QUAI SAINT BERNARD;14/12/2002;14/12/2002
paris;TIRESIA;RUE DE LA VILLETTE;16/11/2002;16/11/2002
paris;TIRESIA;RUE DES MARTYRS;14/12/2002;14/12/2002
paris;DEPUIS QU'OTAR EST PARTI;PLACE SUZANNE VALANDON;31/10/2002;31/10/2002
paris;LE FUGITIF;COURS DE VINCENNES;21/11/2002;21/11/2002
paris;LE FUGITIF;PARC DU CHAMP DE MARS;18/11/2002;18/11/2002
paris;LE FUGITIF;RUE DE BAGNOLET;23/11/2002;23/11/2002
paris;AFRICA PARADIS;RUE DU FAUBOURG SAINT JACQUES ABORDS;12/06/2002;12/06/2002
paris;NATHALIE X...;AVENUE DE LA REPUBLIQUE;03/05/2003;03/05/2003
paris;NATHALIE X...;AVENUE MAC MAHON;02/06/2003;02/06/2003
paris;NATHALIE X...;PLACE DE LA MADELEINE;03/10/2003;03/10/2003
paris;LE TUEUR SANS GAGES;QUAI DE LA GIRONDE;01/03/2003;01/03/2003
paris;LE TUEUR SANS GAGES;QUAI DE L'ALLIER;01/03/2003;01/03/2003
paris;SUPER RIPOUX;RUE BISCORNET;24/01/2003;24/01/2003
paris;SUPER RIPOUX;RUE DU SENEGAL;02/07/2003;02/07/2003
paris;JE RESTE;RUE DE LA TERRASSE;17/01/2003;17/01/2003
paris;PROCESS;QUAI DE GRENELLE;22/01/2003;22/01/2003
paris;COMME UN SEUL HOMME;BOULEVARD NEY;02/05/2003;02/05/2003
paris;COMME UN SEUL HOMME;RUE DE LA CROIX JARRY;02/02/2003;02/02/2003
paris;COMME UN SEUL HOMME;RUE BRUNESEAU;02/02/2003;02/02/2003
paris;VICE ET VERSA;MARCHE POPINCOURT;04/08/2003;04/08/2003
paris;WILD SIDE;BOULEVARD MONTMARTRE;23/02/2003;23/02/2003
paris;WILD SIDE;BOULEVARD MAGENTA;02/10/2003;02/10/2003
paris;WILD SIDE;PLACE CLICHY;31/03/2003;31/03/2003
paris;WILD SIDE;RUE SAINT DENIS;30/01/2003;30/01/2003
paris;WILD SIDE;RUE LAFAYETTE;31/03/2003;31/03/2003
paris;5 X 2;RUE DES JEUNEURS;09/04/2003;09/04/2003
paris;LE CONVOYEUR;CANAL SAINT-DENIS;26/02/2003;26/02/2003
paris;AGENTS SECRETS;PLACE DE LA RESISTANCE;03/12/2003;03/12/2003
paris;UNE VIE A T'ATTENDRE;AVENUE GOURGAUD;24/04/2003;24/04/2003
paris;UNE VIE A T'ATTENDRE;RUE DE FLORENCE;27/03/2003;27/03/2003
paris;UNE VIE A T'ATTENDRE;RUE DE MOSCOU;27/03/2003;27/03/2003
paris;UNE VIE A T'ATTENDRE;RUE SAINT BERNARD;04/07/2003;04/07/2003
paris;INCEPTION / OLIVER'S ARROW;RUE VALENTIN HAUY;22/07/2009;25/07/2009
paris;INCEPTION / OLIVER'S ARROW;STADE EMILE ANTOINE;17/08/2009;17/08/2009
paris;INCEPTION / OLIVER'S ARROW;RUE BOUCHUT;22/07/2009;25/07/2009
paris;CONTRE TOI/SOUS TON EMPRISE;RUE DE PORTALIS;28/08/2009;28/08/2009
paris;CONTRE TOI/SOUS TON EMPRISE;RUE PORTALIS;31/08/2009;31/08/2009
paris;CONTRE TOI/SOUS TON EMPRISE;RUE DE NAPLES;28/08/2009;28/08/2009
paris;HORS LA LOI;EGLISE SAINT VINCENT DE PAUL;24/08/2009;24/08/2009
paris;MEMORY LANE;RUE GIORDANO BRUNO;13/08/2009;13/08/2009
paris;MEMORY LANE;SQUARE DE LA PORTE DE SAINT CLOUD;08/12/2009;08/12/2009
paris;MEMORY LANE;RUE A. CAIN;13/08/2009;13/08/2009
paris;D'AMOUR ET D'EAU FRAICHE;RUE SAINT DENIS;21/08/2009;21/08/2009
paris;NODAME CANTABILE 2;RUE RAMBUTEAU;23/09/2009;23/09/2009
paris;NODAME CANTABILE 2;PLACE ANDRE MALRAUX;10/01/2009;10/01/2009
paris;NODAME CANTABILE 2;PONT NEUF;22/09/2009;22/09/2009
paris;NODAME CANTABILE 2;SQUARE DU VERT GALANT;22/09/2009;22/09/2009
paris;NODAME CANTABILE 2;PORT DE LA TOURNELLE;28/09/2009;28/09/2009
paris;NODAME CANTABILE 2;QUAI DE CONTI;22/09/2009;22/09/2009
paris;NODAME CANTABILE 2;AVENUE DE L'OPERA/R DE L'ECHELLE (ANGLE);22/09/2009;22/09/2009
paris;COMME LES 5 DOIGTS DE LA MAIN;RUE BUFFAULT;10/07/2009;10/07/2009
paris;LE NOM DES GENS;RUE DES BARRES;11/03/2009;11/03/2009
paris;SANS QUEUE NI TETE;PARC DES BUTTES CHAUMONT;10/12/2009;10/12/2009
paris;GIGOLA;RUE DAUNOU;15/10/2009;15/10/2009
paris;GIGOLA;RUE DU CARDINAL DUBOIS;14/10/2009;14/10/2009
paris;GIGOLA;RUE PUGET;13/10/2009;13/10/2009
paris;118318;RUE PASCAL;17/10/2009;17/10/2009
paris;118318;BOULEVARD DE BERCY;10/12/2009;10/12/2009
paris;LA SOEUR DE MOZART;EGLISE SAINTE MARGUERITE;11/02/2009;11/03/2009
paris;ASAL;PONT ALEXANDRE III;21/10/2009;21/10/2009
paris;ASAL;PLACE DE L'OPERA;21/10/2009;21/10/2009
paris;ASAL;RUE PERRAULT;19/10/2009;19/10/2009
paris;CYPRIEN;TERRAIN DE SPORT;19/05/2008;19/05/2008
paris;VILLA AMALIA;PISCINE ASPIRANT DUNANT;29/05/2008;29/05/2008
paris;LE SEMINAIRE;BOIS DE BOULOGNE;26/05/2008;26/05/2008
paris;LE SEMINAIRE;PORT DE LA TOURNELLE;21/05/2008;21/05/2008
paris;LE SEMINAIRE;RUE DES GRANDS DEGRES;23/05/2008;23/05/2008
paris;LE SEMINAIRE;RUE MAITRE ALBERT;23/05/2008;23/05/2008
paris;KOUTOUSOV, GAMBIT RUSSE;ALLEE DU TROCADERO;06/03/2008;06/03/2008
paris;KOUTOUSOV, GAMBIT RUSSE;BOULEVARD RASPAIL;06/03/2008;06/03/2008
paris;KOUTOUSOV, GAMBIT RUSSE;BOULEVARD EDGAR QUINET;06/03/2008;06/03/2008
paris;KOUTOUSOV, GAMBIT RUSSE;PLACE DU PARVIS;06/03/2008;06/03/2008
paris;KROMOV;CIMETIERE DU PERE LACHAISE;29/05/2008;29/05/2008
paris;KROMOV;PLACE DALIDA;14/06/2008;14/06/2008
